matchId,bowler,runs_conceded,balls_bowled,wickets,economy
335982,AA Noffke,35,25,1,8.399999999999999
335982,AB Agarkar,21,28,3,4.5
335982,AB Dinda,7,20,2,2.1
335982,CL White,22,7,0,18.857142857142858
335982,I Sharma,6,19,1,1.8947368421052633
335982,JH Kallis,47,25,1,11.28
335982,LR Shukla,9,9,1,6.0
335982,P Kumar,37,25,0,8.879999999999999
335982,SB Joshi,26,18,0,8.666666666666666
335982,SC Ganguly,20,25,3,4.8
335982,Z Khan,38,24,1,9.5
335983,B Lee,34,25,1,8.16
335983,IK Pathan,47,24,2,11.75
335983,JDP Oram,37,24,0,9.25
335983,JR Hopes,53,24,1,13.25
335983,Joginder Sharma,46,25,1,11.04
335983,K Goel,25,12,0,12.5
335983,M Muralitharan,31,25,1,7.4399999999999995
335983,MS Gony,40,26,1,9.230769230769232
335983,P Amarnath,42,24,1,10.5
335983,PP Chawla,19,6,0,19.0
335983,S Sreesanth,34,19,0,10.736842105263158
335983,WA Mota,22,14,1,9.428571428571429
335984,B Geeves,41,24,1,10.25
335984,D Salunkhe,6,7,0,5.142857142857142
335984,DL Vettori,35,24,1,8.75
335984,GD McGrath,20,25,1,4.8
335984,MF Maharoof,11,24,2,2.75
335984,MM Patel,25,18,0,8.333333333333334
335984,R Bhatia,15,25,3,3.5999999999999996
335984,SK Trivedi,29,21,0,8.285714285714286
335984,SK Warne,16,12,0,8.0
335984,SR Watson,30,25,1,7.199999999999999
335984,YK Pathan,16,14,0,6.857142857142857
335985,A Nehra,43,26,1,9.923076923076923
335985,AM Nayar,10,6,0,10.0
335985,B Akhil,17,18,2,5.666666666666667
335985,DS Kulkarni,17,18,1,5.666666666666667
335985,Harbhajan Singh,35,25,2,8.399999999999999
335985,JH Kallis,41,20,0,12.299999999999999
335985,P Kumar,28,25,1,6.72
335985,R Vinay Kumar,41,24,0,10.25
335985,SB Joshi,10,12,0,5.0
335985,SM Pollock,17,24,0,4.25
335985,ST Jayasuriya,39,24,1,9.75
335985,Z Khan,17,24,4,4.25
335986,A Symonds,13,15,0,5.2
335986,AB Agarkar,19,12,2,9.5
335986,AB Dinda,17,19,1,5.368421052631579
335986,DJ Hussey,34,19,1,10.736842105263158
335986,I Sharma,6,21,1,1.7142857142857142
335986,M Kartik,17,22,4,4.636363636363637
335986,Mohammad Hafeez,7,25,1,1.68
335986,PP Ojha,16,26,2,3.6923076923076925
335986,RP Singh,15,18,1,5.0
335986,SB Bangar,13,20,0,3.9
335986,SB Styris,18,25,0,4.319999999999999
335986,WPUJC Vaas,9,18,2,3.0
335987,B Lee,33,26,1,7.615384615384616
335987,D Salunkhe,19,13,1,8.76923076923077
335987,IK Pathan,19,26,1,4.384615384615385
335987,JR Hopes,32,25,1,7.68
335987,MM Patel,36,24,2,9.0
335987,PP Chawla,27,12,0,13.5
335987,Pankaj Singh,12,6,0,12.0
335987,S Sreesanth,33,24,1,8.25
335987,SK Trivedi,25,24,2,6.25
335987,SK Warne,19,24,3,4.75
335987,SR Watson,38,25,0,9.12
335987,WA Mota,12,6,0,12.0
335987,YK Pathan,13,6,0,13.0
335988,A Symonds,35,12,0,17.5
335988,GD McGrath,22,24,0,5.5
335988,MF Maharoof,35,25,2,8.399999999999999
335988,Mohammad Asif,19,24,2,4.75
335988,PP Ojha,3,8,0,2.25
335988,R Bhatia,27,24,3,6.75
335988,RP Singh,26,19,1,8.210526315789474
